JANコード,数量（下限）,数量（上限）,個口数
4580267738886,3,4,2
4580267738886,5,6,3
4580267738886,7,,宅配
4580267732143,3,4,2
4580267732143,5,6,3
4580267732143,7,,宅配
4580267732075,3,4,2
4580267732075,5,6,3
4580267732075,7,,宅配
4580267730507,3,4,2
4580267730507,5,6,3
4580267730507,7,,宅配
4580267732310,2,2,2
4580267732310,3,3,3
4580267732310,4,,宅配
4580267732051,5,8,2
4580267732051,9,12,3
4580267732051,13,,宅配
4580267731498,2,2,2
4580267731498,3,3,3
4580267731498,4,,宅配
4580267731436,6,10,2
4580267731436,11,15,3
4580267731436,16,,宅配
