資材名,品番,カテゴリ,NE仕入先cd,仕入先名,ロット,単価,発注点,在庫定数,保管ロケーション,有効フラグ,備考
60A,,段,,,20,,400,1400,ロッテ,✓,20結束
60B,,段,,,20,,180,1180,ロッテ,✓,20結束
60C,,段,,,20,,120,1220,ロッテ,✓,20結束
80A,,段,,,20,,120,1120,ロッテ,✓,20結束
80B,,段,,,20,,120,1120,ロッテ,✓,20結束
100A,,段,,,,,220,520,ロッテ,✓,
100B,,段,,,,,50,350,ロッテ,✓,
120A,,段,,,,,70,170,カープ,✓,
120B,,段,,,,,70,170,カープ,✓,
120C,,段,,,,,70,170,カープ,✓,五月人形の発注数を考慮する
140A,,段,,,,,70,170,カープ,✓,
140B,,段,,,,,70,170,カープ,✓,
160A,,段,,,,,50,150,カープ,✓,
160B,,段,,,,,50,150,カープ,✓,
MB2,,ワ,,,480,,960,2400,カープ,✓,入数480枚/CT・発注点表記3CT(960枚)・定数5CT。入数換算が不整合のため要確認
MB3,,ワ,,,350,,100,,カープ,✓,入数350枚/CT・元表記『100』のみ。発注点/定数いずれか要確認
MB4,,ワ,,,380,,1140,1900,カープ,✓,入数380枚/CT・発注点3CT(1140枚)・定数5CT(1900枚)
160D,,段,,,,,,,スワローズ,✓,無くなったら白ギフトに移行
テプラ,,ワ,,,,,1,3,トイプー：備品棚,✓,単位:個
JANロール（ラベルシール）,,ワ,,,,,1,3,トイプー：備品棚,✓,単位:本
エアピロ,,プチ,,,,,1,3,トイプー：備品棚,✓,単位:ロール
規格袋NO.10,,ワ,,,,,1,2,トイプー：備品棚,✓,むき出し系で段ボールいれるとき/単位:袋/2月の発注はアスクルに変えてみた
規格袋NO.15,,ワ,,,,,1,2,トイプー：備品棚,✓,ドリル系の宅配で使う/単位:袋/2月の発注はアスクルに変えてみた
OPPテープ,,ワ,,,,,3,9,トイプー：備品棚,✓,10PCS=3セット相当/単位:セット
梱包チラシ,,プ,,,,,,500,トイプー：備品棚,✓,通常月N500枚/スペシャル月S1500枚。発注点未設定のため最終確認工程で判断
日本製ボール同梱冊子,,プ,,,,,,100,トイプー：備品棚,✓,通常月N100枚/スペシャル月S200枚。発注点未設定のため最終確認工程で判断
セロハン,,ワ,,,,,4,10,トイプー：備品棚,✓,単位:PCS
ストレッチフィルム,,日,,,,,2,8,トイプー：備品棚,✓,単位:本/2月の発注はアスクルに変えてみた
45Lゴミ袋,,ワ,,,,,100,200,トイプー：備品棚,✓,単位:枚
トーマス袋（8の字のみ）,,廃止候補,,,,,,100,トイプー：備品棚,✓,通常月N100枚/スペシャル月S200枚/元日本製ボールソフト袋/無くなる際に代用を再検討。発注点未設定のため最終確認工程で判断
トーマス袋（8の字以外）,,廃止候補,,,,,,100,トイプー：備品棚,✓,通常月N100枚/スペシャル月S200枚/元2Lラッピング用袋/無くなる際に代用を再検討。発注点未設定のため最終確認工程で判断
緩衝材（紙）,,ワ,,,,,,,梱包室,✓,1cmくらい。発注点未設定のため最終確認工程で判断
レビューチラシ,,プ,,,,,200,1000,梱包室,✓,1000枚=1束
ゆうパケット用紙,,倉庫,,,,,40,,梱包室,✓,印刷後ハンコ押印まで
お詫び状,,倉庫,,,,,3,,梱包室,✓,単位:枚
トイレ掃除シート,,ワ,,,,,1,3,事務所備品,✓,1パック=2個入り/単位:パック/5月にキッチンクリーナーへ変更!江原さんにキッチンクリーナーの使用感確認
クリアファイル,,ワ,,,,,100,700,事務所備品,✓,単位:枚
コピー用紙A4,,ワ,,,500,,5000,10000,事務所備品,✓,1束=500枚/発注点10束/定数20束
トイレットペーパー,,ワ,,,,,2,8,事務所備品,✓,1袋=6R入り/単位:袋
ティッシュ,,ワ,,,,,10,24,事務所備品,✓,単位:個
ウェットシート,,ワ,,,,,3,10,事務所備品,✓,単位:個
ペーパータオル,,ワ,,,,,3,10,事務所備品,✓,単位:個
配送会社伝票各種,,パウチ参照,,,,,,,事務所備品,✓,ヤマト/ネコポス/佐川/ゆうパック/ゆうパケット。発注点はパウチ確認すること。最終確認工程で判断
パイプユニッシュ,,ワ,,,,,1,,事務所備品,✓,単位:個
クレンザー,,ワ,,,,,1,,事務所備品,✓,単位:個
排水溝ネット,,ワ,,,,,1,,事務所備品,✓,単位:袋/半分過ぎたら1袋
スープ処理剤,,ワ,,,,,30,,事務所備品,✓,単位:袋
80B（仮面ライダーベルト）,,段,,,,,,,その他トリガー,✓,仮面ライダーベルトが売れる時期か？新しいライダーは9月〜、売れ行きは過去商品を月別売上などで確認。最終確認工程で判断
90L袋,,ワ,,,,,,,その他トリガー,✓,N10袋・S10袋/クッションプール入荷予定あるか？一度の入荷でせいぜい20〜30個。最終確認工程で判断
エタノール,,ワ,,,,,0.5,1,その他トリガー,✓,単位:本/501&502作業予定はあるか？(501の仕入れ方が確定するまで休止)
パウチ,,ワ,,,,,,,その他トリガー,✓,必要なタイミングで確認。最終確認工程で判断
フォーク用補充液,,ワ,,,,,,,その他トリガー,✓,廃止フォーク点検で管理/必要なタイミングで確認。最終確認工程で判断
シーズンもの・売れ始め商品の考慮,,,,,,,,,その他トリガー,✓,売れ始めた商品やシーズンもの（Xmasや五月人形・アイスリングなど）を考慮できてるかワンと会話する。最終確認工程で判断
